"date","state","fips","cases","deaths"
"2020-01-25","California",6,1,0
"2020-01-26","California",6,1,0
"2020-01-27","California",6,0,0
"2020-01-28","California",6,0,0
"2020-01-29","California",6,0,0
"2020-01-30","California",6,0,0
"2020-01-31","California",6,1,0
"2020-02-01","California",6,0,0
"2020-02-02","California",6,3,0
"2020-02-03","California",6,0,0
"2020-02-04","California",6,0,0
"2020-02-05","California",6,0,0
"2020-02-06","California",6,0,0
"2020-02-07","California",6,0,0
"2020-02-08","California",6,0,0
"2020-02-09","California",6,0,0
"2020-02-10","California",6,1,0
"2020-02-11","California",6,0,0
"2020-02-12","California",6,0,0
"2020-02-13","California",6,0,0
"2020-02-14","California",6,0,0
"2020-02-15","California",6,0,0
"2020-02-16","California",6,0,0
"2020-02-17","California",6,0,0
"2020-02-18","California",6,0,0
"2020-02-19","California",6,0,0
"2020-02-20","California",6,1,0
"2020-02-21","California",6,1,0
"2020-02-22","California",6,0,0
"2020-02-23","California",6,0,0
"2020-02-24","California",6,2,0
"2020-02-25","California",6,0,0
"2020-02-26","California",6,15,0
"2020-02-27","California",6,0,0
"2020-02-28","California",6,1,0
"2020-02-29","California",6,1,0
"2020-03-01","California",6,5,0
"2020-03-02","California",6,5,0
"2020-03-03","California",6,7,0
"2020-03-04","California",6,10,1
"2020-03-05","California",6,12,0
"2020-03-06","California",6,14,0
"2020-03-07","California",6,19,0
"2020-03-08","California",6,12,0
"2020-03-09","California",6,60,1
"2020-03-10","California",6,7,1
"2020-03-11","California",6,23,1
"2020-03-12","California",6,50,0
"2020-03-13","California",6,68,1
"2020-03-14","California",6,61,0
"2020-03-15","California",6,97,1
"2020-03-16","California",6,110,5
"2020-03-17","California",6,144,3
"2020-03-18","California",6,161,3
"2020-03-19","California",6,174,2
"2020-03-20","California",6,216,5
"2020-03-21","California",6,261,4
"2020-03-22","California",6,307,7
"2020-03-23","California",6,389,4
"2020-03-24","California",6,404,13
"2020-03-25","California",6,539,16
"2020-03-26","California",6,877,15
"2020-03-27","California",6,855,21
"2020-03-28","California",6,651,18
"2020-03-29","California",6,755,10
"2020-03-30","California",6,1100,15
"2020-03-31","California",6,1162,37
"2020-04-01","California",6,1274,28
"2020-04-02","California",6,1333,35
"2020-04-03","California",6,1379,35
"2020-04-04","California",6,1227,41
"2020-04-05","California",6,1406,28
"2020-04-06","California",6,1159,35
"2020-04-07","California",6,1179,61
"2020-04-08","California",6,1503,59
"2020-04-09","California",6,1148,42
"2020-04-10","California",6,1175,46
"2020-04-11","California",6,1055,38
"2020-04-12","California",6,902,44
"2020-04-13","California",6,1011,49
"2020-04-14","California",6,1424,53
"2020-04-15","California",6,1349,107
"2020-04-16","California",6,1035,86
"2020-04-17","California",6,1256,79
"2020-04-18","California",6,1431,96
"2020-04-19","California",6,715,30
"2020-04-20","California",6,2318,47
"2020-04-21","California",6,1982,93
"2020-04-22","California",6,1729,109
"2020-04-23","California",6,1961,123
"2020-04-24","California",6,1834,71
"2020-04-25","California",6,1222,73
"2020-04-26","California",6,1101,24
"2020-04-27","California",6,1517,84
"2020-04-28","California",6,1362,84
"2020-04-29","California",6,2334,77
"2020-04-30","California",6,1566,96
"2020-05-01","California",6,1848,90
"2020-05-02","California",6,1435,66
"2020-05-03","California",6,1319,22
"2020-05-04","California",6,1261,62
"2020-05-05","California",6,2515,89
"2020-05-06","California",6,1939,92
"2020-05-07","California",6,1694,83
"2020-05-08","California",6,2135,89
"2020-05-09","California",6,2208,82
"2020-05-10","California",6,1227,37
"2020-05-11","California",6,1463,51
"2020-05-12","California",6,1636,82
"2020-05-13","California",6,2068,112
"2020-05-14","California",6,1729,25
"2020-05-15","California",6,2068,153
"2020-05-16","California",6,1918,62
"2020-05-17","California",6,1433,36
"2020-05-18","California",6,1577,32
"2020-05-19","California",6,2038,100
"2020-05-20","California",6,2144,92
"2020-05-21","California",6,2363,110
"2020-05-22","California",6,2313,66
"2020-05-23","California",6,2014,78
"2020-05-24","California",6,1928,22
"2020-05-25","California",6,2274,18
"2020-05-26","California",6,2907,51
"2020-05-27","California",6,1949,102
"2020-05-28","California",6,2198,81
"2020-05-29","California",6,2972,102
"2020-05-30","California",6,3057,70
"2020-05-31","California",6,3014,28
"2020-06-01","California",6,2529,45
"2020-06-02","California",6,2438,73
